"source_id","name","latitude","longitude_west_360","longitude","jiram_detections_by_orbit","max_spectral_radiance_gw_um","max_unsaturated_spectral_radiance_gw_um","avg_unsaturated_spectral_radiance_gw_um","min_unsaturated_spectral_radiance_gw_um","earlier_detections","notes","source"
"JRM204","Mihr Patera","-16.6","305.2","54.8","9, 10, 20, 24, 25i, 25o, 27i, 32i, 32o, 33, 37i, 37o, 40","6.663992542","6.663992542","1.45622138","0.392396456","NIMS, PPR","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM206","Amaterasu Patera","38.2","306.4","53.6","7, 11, 17, 18, 20, 24, 25i, 26, 27i, 32i, 33, 37i, 40, 41, 43","18.71385984","10.34101033","4.424632223","2.070920883","NIMS, PPR, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM207","Loki Patera","12.7","308.7","51.3","9, 11, 20, 24, 25i, 26, 27i, 32i, 32o, 33, 37i, 37o, 40, 41, 43","154.1353636","68.32230206","46.47031886","24.61833566","NIMS, PPR, LEISA, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM208","Kinich Ahau Patera A","49.3","310.4","49.6","7, 11, 17, 18, 20, 24, 25i, 26, 27i, 32i, 33, 37i, 40, 41, 43","9.764154929","6.510674578","2.274554795","1.028023485","NIMS, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM209","Quzah Fluctus","-30.2","311","49","9, 10, 20, 24, 25o, 27i, 27o, 32i, 32o, 33, 37i, 37o, 40","6.19622598","6.19622598","2.553185055","0.651857208","LEISA","Name approved by IAU Apr 2023","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM210","Heno Patera","-57.2","311.5","48.5","9, 10, 25o, 27o, 32i, 32o, 33, 35, 37o, 40","5.080815611","5.080815611","2.419203321","1.10296069","NIMS, PPR, LEISA, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM211","Mazda Paterae","-7.7","312.4","47.6","9, 10, 24, 25i, 32i, 32o, 37i, 37o, 40","7.789684442","7.789684442","1.241044061","0.492560719","NIMS, PPR, LEISA, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM212","PV93","63.5","313.3","46.7","25i, 41","0.093391859","0.093391859","0.061999157","0.030606454","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM213","Kinich Ahau Patera B","50.6","313.4","46.6","41, 43","0.704987536","0.704987536","0.536106836","0.367226136","","Close to JRM208","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM214","Upulevo Fluctus","-80.2","315","45","10, 25o, 27o, 32o, 37o","10.73901505","1.691619742","0.716228188","0.172093516","NIMS","Name approved by IAU Apr 2023","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM215","PV98","27.2","315.8","44.2","24, 25i, 41","0.126056326","0.126056326","0.105560961","0.05777391","NIMS, LEISA, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM216","PV99","18.3","315.8","44.2","24, 25i","0.190565389","0.190565389","0.129951303","0.069337216","NIMS?","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM217","JRM217","-28.4","319.2","40.8","9, 10, 24, 25o, 32i, 32o, 33, 35, 37o","8.751684337","8.751684337","2.31244821","0.151694578","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM218","PV102","-48.8","319.4","40.6","9, 10","0.30737885","0.30737885","0.207791699","0.108204547","NIMS, PPR","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM219","PV103","57.3","320.3","39.7","7, 17, 18, 24, 25i, 26, 32i, 37i, 41, 43","0.705237163","0.705237163","0.252043182","0.131529886","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM220","Manua Patera","35.6","321.5","38.5","17, 18, 20, 24, 25i, 26, 27i, 32i, 37i, 40, 41, 43","1.742666166","1.742666166","0.907249306","0.348360361","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM221","Tol Ava Patera","1.7","322.1","37.9","9, 20, 24, 25i, 32i, 32o, 37i, 37o, 41, 43","1.862680373","1.862680373","0.551398494","0.043296086","NIMS, PPR, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM222","Fu1386","52.6","322.5","37.5","24, 25i, 41, 43","0.142800126","0.142800126","0.043377319","0.019588377","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM223","Shoshu Patera","-19.3","324","36","9, 10, 20, 24, 25o, 32i, 32o, 37o","4.632921679","4.632921679","1.142369118","0.218347723","NIMS, deKleer2019","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM224","PV110","-40.7","324.9","35.1","9, 10, 25o, 32o, 37o","0.335438476","0.335438476","0.140946664","0.103102974","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM225","Fuchi Patera","28.3","327.3","32.7","5, 9, 11, 17, 18, 20, 24, 25i, 25o, 26, 27i, 32i, 32o, 33, 37i, 37o, 40, 41, 43","4.921009845","4.921009845","2.068113915","0.11827885","NIMS, PPR, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM226","Fu1479","72.4","328.4","31.6","17, 25i, 41","0.039800475","0.039800475","0.029085274","0.012683627","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM227","Hiruko Patera","-65.2","328.4","31.6","9, 10, 25o, 27o, 32o, 37o","0.659245862","0.659245862","0.309572229","0.088548038","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM228","Huo Shen Patera","-14.8","328.8","31.2","25o","0.167910469","0.167910469","0.167910469","0.167910469","NIMS, PPR","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM229","PV170","-49.7","329.6","30.4","9, 10, 25o, 27i, 27o, 32o","1.557051151","1.557051151","0.305765409","0.047243426","Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM230","PV119","16.9","331.1","28.9","20, 25i, 41","0.155700134","0.155700134","0.142961512","0.072826783","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM231","PV126","9.7","332.8","27.2","25i, 25o, 32o, 41","0.264939312","0.264939312","0.223567949","0.055859526","NIMS, PPR","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM232","Horus Patera","-7.6","334.6","25.4","32o","0.167611728","0.167611728","0.167611728","0.167611728","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM233","PV129","24.5","335.5","24.5","9, 11, 17, 18, 20, 24, 25i, 25o, 26, 27i, 32o, 41, 43","1.517903688","1.517903688","0.717861447","0.137069256","NIMS, LEISA, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM234","Surt","45.3","337.1","22.9","7, 11, 17, 18, 20, 24, 25i, 26, 27i, 32i, 33, 37i, 40, 41, 43","19.15664477","5.485878323","1.628536959","0.475570535","NIMS, LEISA, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM235","Kanlaon Patera","-31.3","337.6","22.4","20, 24, 25o, 26, 27i, 27o, 32o, 33, 35, 37o, 40","8.162701414","8.162701414","3.965555586","0.756762432","NIMS","Name approved by IAU Apr 2023","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM236","JRM236","40.8","340.7","19.3","17, 20, 24, 25i, 41","0.215495145","0.215495145","0.104343317","0.017844088","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM237","Kava Patera","-16.9","341.1","18.9","37o","0.913805872","0.913805872","0.913805872","0.913805872","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM238","Creidne Patera","-51.9","341.8","18.2","5, 9, 10, 20, 25o, 27i, 27o, 32o, 35, 37o, 40","21.07527437","21.07527437","1.410755503","0.149557762","NIMS, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM239","PV196","-26.9","342.1","17.9","26, 27i","1.532796135","1.532796135","0.904660026","0.276523917","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM240","Inti Patera","-68.3","347.3","12.7","5, 9, 10, 25o, 27o, 32o, 35, 37o","0.996490145","0.996490145","0.712714853","0.281616481","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM241","PFd1293","44.3","347.5","12.5","17, 20, 24, 25i, 26, 41, 43","0.207834982","0.207834982","0.151112844","0.074951774","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM242","PV148","9.8","348","12","20","0.144330232","0.144330232","0.144330232","0.144330232","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM243","PV150","-2.6","348.3","11.7","9, 20, 32o, 37o","0.945360991","0.945360991","0.480785562","0.088103673","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM244","Tiermes Patera","22.6","350.2","9.80000000000001","17, 18, 20, 25i, 27i, 32o, 41","0.297817452","0.297817452","0.151914616","0.022384869","NIMS, PPR","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM245","JRM245","31.7","352.4","7.60000000000002","17, 20, 25i, 26, 27i, 32o","0.140618352","0.140618352","0.070966666","0.044301089","NIMS?","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM246","Talos Patera","-26.2","353.9","6.10000000000002","20","0.08390556","0.08390556","0.08390556","0.08390556","NIMS?","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM247","Pfu1063","43.4","355.1","4.89999999999998","11, 17, 18, 20, 24, 25i, 26, 27i, 41, 43","1.070646052","1.070646052","0.545921209","0.131307557","Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM248","Paive Patera","-45.7","358.5","1.5","5, 9, 10, 20, 25o, 27i, 27o, 32o, 35, 37o","3.700523643","2.758198777","1.558518444","1.081616254","NIMS, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
